,Time in Nano Second,Time in Second
Time elapsed was ,60935,6.0935E-05
Time elapsed was ,58574,5.8574E-05
Time elapsed was ,59507,5.9507E-05
Time elapsed was ,113223,0.000113223
Time elapsed was ,58537,5.8537E-05
Time elapsed was ,62004,6.2004E-05
Time elapsed was ,557711,0.000557711
Time elapsed was ,102649,0.000102649
Time elapsed was ,63419,6.3419E-05
Time elapsed was ,108741,0.000108741
Total Time,1245300,0.0012453
Average Time,124530,0.00012453
The average time taken was 0.00012453 seconds,,
