,Time in Nano Second,Time in Second
Time elapsed was  ,476548830,0.47654883
Time elapsed was ,473102844,0.473102844
Time elapsed was ,474112367,0.474112367
Time elapsed was ,476214698,0.476214698
Time elapsed was ,470431336,0.470431336
Time elapsed was ,473253881,0.473253881
Time elapsed was ,468299522,0.468299522
Time elapsed was ,467121211,0.467121211
Time elapsed was ,466094899,0.466094899
Time elapsed was ,464400386,0.464400386
Total,4709579974,4.245179588
Average Time,470957997.4,0.4245179588
The average time taken was 0.4245179588 seconds,,
